sentence,evaluation_words,tonality,entity,entity_type
"

Ранее удары по Сирии осудили Россия, Китай и Иран", ранее удар по сирия осудить россия и иран ,0,Китай,COUNTRY
" Выступая в 5 октября на пресс-конференции, президент Барак Обама признал, что протесты вызваны недовольством медленными темпами восстановления экономики и безответственностью виновных в возникновении глобального финансового кризиса", выступать в октябрь на пресс конференция президент признать что протест вызвать недовольство медленный темп восст ,0,Барак Обама,PERSON
" Россия приветствует лишь один сценарий, конструктивный диалог правительства Сирии и оппозиции без иностранного вмешательства", россия приветствовать лишь один сценарий конструктивный диалог сирия и оппозиция без иностранный вмешательство ,0,правительства,ORGANIZATION
" Широко известны слова преподобного Серафима Саровского о том, что Россия спасётся крестными ходами", широко известный слово преподобный серафим саровский о тот что спасти тся крестный ход ,0,Россия,COUNTRY
"

Турецкие власти в понедельник вызвали временного поверенного в делах Германии, после того как германский суд не разрешил транслировать обращение Эрдогана к участникам митинга в Кельне в воскресенье, собравшего десятки тысяч его сторонников",льникнуть вызвать временной поверить в дело германия после тот как не разрешить транслировать обращение эрдоган к участник митинг в к ,-1,германский суд,ORGANIZATION
"

Чиновник дожил до 90 лет и скончался, по сообщению Центрального телевидения, 22 июля в 23:11 по пекинскому времени", чиновник дожить до год и скончаться по сообщение июль в по пекинский время ,0,Центрального телевидения,ORGANIZATION
" Указа о назначении нового главы своей администрации Муртаза Рахимов, по словам господина Мурзагалиева, пока не подписал", указ о назначение новый глава свой администрация по слово господин мурзагалиев пока не подписать ,0,Муртаза Рахимов,PERSON
"Николас Мадуро стал президентом Венесуэлы
Николас Мадуро
14 апреля 2013 года центризбирком Венесуэлы объявил о том, что исполняющий обязанности президента Николас Мадуро победил на внеочередных президентских выборах, проведённых в связи со смертью Уго Чавеса", стать президент венесуэла николас мадурый апрель год центриз ,0,Николас Мадуро,PERSON
Apple создал собственную музыкальную премию Apple Music Awards и назвал победителейApple учредил собственную ежегодную музыкальную премию Apple Music Awards и назвал победителей 2019 года,вал победителейapple учредить собственный ежегодный музыкальный премия music awards и назвать победитель год ,0,Apple,ORGANIZATION
"В Израиле отмечают Йом Ха-Зикарон

По всей стране приспущены флаги

В Израиле отмечают Йом Ха-Зикарон - День памяти павших в войнах Израиля и жертв террора",лаг в израиль отмечать йом ха зикарон день память пасть в война и жертва террор ,0,Израиля,COUNTRY
"

Также Google, конечно, не оставит без внимания пристрастие аудитории к социальным сетям", также конечно не оставить без внимание пристрастие аудитория к социальный  ,0,Google,ORGANIZATION
" Если эта информация недоступна, сотрудник погранслужбы вручную проверит статус визы студента по базе данных", если этот информация недоступный сотрудник вручную проверить статус виза студент по база данные ,0,погранслужбы,ORGANIZATION
" — , — 24/06/2016], Экс-президент Татарстана Минтимер Шаймиев, председатель Российского союза евангельских христиан-баптистов (РОСХВЕ) Алексей Васильевич Смирнов[http://baptist", экс президент татарстан минтимер шаймиев председатель росхв алексей василиевич смирнов http baptist ,0,Российского союза евангельских христиан-баптистов,ORGANIZATION
"
6 и 7 октября 2012 года в Московском клубе Gogol' («Гоголь») прошло празднование 25-летия легендарного рок-фестиваля «Подольск-87»", и октябрь год в московский клуб gogol пройти празднование летие легендарный рок фестиваль подольск  ,0,Гоголь,ORGANIZATION
"
В настоящее время он размещён в здании министерства обороны страны, изолировав от других задержанных сотрудников его администрации", в настоящий время он размещ н в здание изолировать от другой задержать сотрудник он администрация ,0,министерства обороны страны,ORGANIZATION
" Тело 66-летнего Патрика Фэрроу было найдено в его картинной галерее в Каслтоне, штат Вермонт в понедельник ночью, а его смерть вызывала подозрение у полиции США", тело летний быть найти в он картинный галерея в каслтоня штат вермонт в понеда ,1,Патрика Фэрроу,PERSON
) и Сони (Sony Corp, и sony corp ,0,Сони,ORGANIZATION
") была закрыта в соответствии с санкциями ООН, введенными в марте 2016 года в ответ на ядерные испытания в КНДР, но, по данным газеты ''Korea JoongAng Ilbo'', которая ссылается на анонимные источники, продолжает секретную деятельность в приграничном городе Даньдун", год в ответ на ядерный испытание в кндр но по данные газета joongang ilbo который ссылаться на анонимный источник продолжать ,0,Korea,COUNTRY
"

слева|Ларс Боом под Франкфуртом весной 2009 года

Удивительно, но беглецам удалось довести время отрыва до 25 минут к финишу этапа", слева под франкфурт весна год удивительно но беглец удаться до ,0,Ларс Боом,PERSON
"Италии и Испании не понадобится финансовая помощь
Комиссар ЕС по экономической и валютной политике Олли Рен убежден, что третья и четвертая по величине экономики Европы не пойдут по стопам обремененных гигантскими долгами Греции, Ирландии и Португалии, которым в прошлом году пришлось выделить многомиллиардные пакеты помощи",и европа не пойти по стопа обременить гигантский долг греция и португалия который в прошлый год прийтись выделить многомиллиардна ,-1,Ирландии,COUNTRY
"

На третий день в соперники россиянкам досталась молодая сборная Канада, до этого не выигравшая на турнире ни одного сета", на третий день в соперник россиянка достаться молодой до это не выиграть на турнир ни один сет ,-1,сборная Канада,ORGANIZATION
" На прошлой неделе Мишель Д’Хоге, член исполнительного комитета ФИФА от Бельгии, признал, что за восемь месяцев до голосования Вячеслав Колосков, советник президента Олимпийского комитета России, приехал в его родной город Брюгге и подарил ему картину", на прошлый неделя мишель далее хог член исполнительный комитет от бельгия признать что за восемь месяц до голосование вячеслав к ,0,ФИФА,ORGANIZATION
"

Многие китайские интернет-пользователи сочли это «осквернением священности» пионерского галстука, красный цвет которого символизирует кровь революционных мучеников", многие интернет пользователь счесть это осквернение священность пионерског ,0,китайские,COUNTRY
"

Напомним, что в 2011 году Бардо написала премьеру России Путину письмо с благодарностью за то, что он запретил в России охотиться на детёнышей тюленей, назвав его ''«президентом своего сердца»''",емьер россия путин письмо с благодарность за то что он запретить в охотиться на деть нышея тюлень назвать он президент свой сердый ,0,России,COUNTRY
"
Как утверждают в Odebrecht, с 2004 года они заплатили в качестве взяток почти 30 миллионов долларов", как утверждать в с год они заплатить в качество взятка почти миллион долла ,-1,Odebrecht,ORGANIZATION
"Скончался Аркадий Арканов
Аркадий Арканов
22 марта 2015 года в московской больнице на 82-м году жизни умер писатель-сатирик Аркадий Арканов",скончаться аркадий аркан март год в московский больница на м год жизнь умереть писа ,0,Аркадий Арканов,PERSON
"

69-летнего Гарсию обвиняли в получении взяток от бразильской строительной компании Odebrecht", летний гарсия обвинять в получение взятка от строительный компания odebrecht ,0,бразильской,COUNTRY
"
Из-за ареста под угрозой срыва встреча Стросс-Кана с канцлером Германии Ангелой Меркель, назначенная на воскресенье", из за арест под угроза срыв встреча с канцлер германия ангела меркель назначить на воскресение ,0,Стросс-Кана,PERSON
" Елена Шарина); студию восточного танца Лотос (Плесецк, рук", студия восточный танец лотос плесецк рука ,0,Елена Шарина,PERSON
"

Радикальная партия находится в номинальной оппозиции правительству, хотя ранее также выражала готовность работать с ним", находиться в номинальный оппозиция правительство хотя ранее также выр ,1,Радикальная партия,ORGANIZATION
" «Заявления террориста о том, что он является членом разветвлённой праворадикальной группировки «крестоносцев», выступающих против засилья ислама в Европе - всего лишь бахвальство», - цитирует РБК анонимный источник в правоохранительных органах Норвегии", против засилье ислам в европа весь лишь бахвальство цитировать анонимный источник в правоохранительный орган норвегия ,0,РБК,ORGANIZATION
"

В результате сегодня суд признал Берлускони виновным в сексуальные контакты с эль-Маруг, которой на тот момент не было 18 лет",тат сегодня суд признать берлускони виновный в сексуальный контакт с который на тот момент не быть год ,0,эль-Маруг,PERSON
" Демократическая партия, созданная на основе коалиции ""Оливковое дерево"" бывшего премьер-министра страны Романо Проди и включающая в себя партии ""Левые демократы"" и ""Маргерита"", занимает 217 мест в 630-местном парламенте Италии и является одной из главных оппозиционных сил страны",ртия левый демократ и маргерита занимать место в местный и являться один из главный оппозиционный сила страна ,0,парламенте Италии,ORGANIZATION
 По подозрению в причастности к убийству Ким Чен Нама задержаны две девушки — гражданки Вьетнама и Индонезии, по подозрение в причастность к убийство задержать два девушка гражданка вьетнам и индонезия ,0,Ким Чен Нама,PERSON
" В главных ролях сыграли Бенедикт Камбербэтч, Кира Найтли, Мэттью Гуд, Марк Стронг, Рори Киннир и др", в главный роль сыграть кира найтлить мэттью гуд марк стронг рорь киннир и др ,0,Бенедикт Камбербэтч,PERSON
"

Заявление Трампа может осложнить рассмотрение уголовного дела в отношении Голстейна, поскольку президент является верховным главнокомандующим вооружённых сил США, и все его заявления по делу могут неподобающим образом повлиять на исход",и голстейн поскольку президент являться верховный главнокомандующий и всё он заявление по дело мочь неподобающий образ повлиять на и ,0,вооружённых сил США,ORGANIZATION
"

Также отмечено, что по данным Всемирной организации здравоохранения (ВОЗ), от злоупотребления алкоголем ежегодно в мире умирают 2 миллиона человек", также отметить что по данные воз от злоупотребление алкоголь ежегодно в мир умирать миллион ,0,Всемирной организации здравоохранения,ORGANIZATION
" ODS в лице своего нового председателя Мартина Куба заявила, что не поддержит предлагаемого президентом технического правительства", в лицо свой новый председатель мартин куба заявить что не поддёр ,0,ODS,ORGANIZATION
"

    По теме: В Италии тысячи людей выступили против мер бюджетной экономии правительства

Итальянский политик, лидер партии ""Народ свободы"" и крупный бизнесмен, чей холдинг Fininvest владеет разнородными активами - от медиа и строительного бизнеса до футбольного клуба Milan (всего около 150 компаний) трижды избирался на пост главы правительства (абсолютный рекорд для Италии): возглавлял правительство Италии в 1994 г", по тема в тысяча человек выступить против мера бюджетный экономия правительство и ,0,Италии,COUNTRY
" Она опровергла утверждения России о том, что стремления Крыма отделиться от Украины можно сравнить с провозглашением независимости Косово от Сербии:


Однако Меркель лишь недавно сменила осторожный подход к России на столь жесткую позицию, отмечает профессор Алан Райли, эксперт по отношениям России и ЕС из Лондонского городского университета:


Для Берлина на карту поставлены тесные экономические и торговые связи с Москвой",ровергнуть утверждение россия о тот что стремление крым отделиться от можно сравнить с провозглашение независимость косово от сербия ода ,-1,Украины,COUNTRY
"

Настольный футбол в России - относительно молодой и динамично развивающийся вид спорта", настольный футбол в относительно молодой и динамично развивающийся вид спорт ,0,России,COUNTRY
"

В 2017—2018 годах Адамович вёл блог на русском языке на сайте «Эха Москвы»", в год в л блог на русский язык на сайт эхо москва  ,1,Адамович,PERSON
"В прокат выходит «Планета обезьян: Война» с Вуди Харрельсоном и дедовщиной
Вуди Харрельсон
Плакат на кинотеатре
13 июля 2017 года в российский прокат выходит фильм «Планета обезьян: Война»",в прокат выходить планета обезьяна война с и дедовщина вудить харрельсон плакат на кинотеатр июль год в ,0,Вуди Харрельсоном,PERSON
"

Акция в поддержку журналиста Ивана Голунова, которому правоохранительные органы России подбросили наркотики и пытались сфабриковать уголовное дело, состоялась 12 июня 2019 года, несмотря на признание властями преступления со стороны полицейских и снятия с журналиста всех обвинений", акция в поддержка журналист который правоохранительный орган россия подбросить наркотик и пыт ,-1,Ивана Голунова,PERSON
"Победа ХАМАС на парламентских выборах в Палестине

На состоявшихся выборах в парламент Палестины побеждает организация ХАМАС, которая считается террористической организацией",арламентский выборы в палестина на состояться выборы в парламент побеждать организация хамас который считаться террористический орган ,0,Палестины,COUNTRY
"

Лукашенко также обвинил руководство РФ в нарушении договоренностей о том, что российские «антисанкции» не должны сказываться на экономике Беларуси:
Мы договорились с российскими партнерами, что не будем страдать от введенных ответных экономических санкций в отношении Америки и Европы",нкции не должный сказываться на экономика беларусь мы договориться с партнёр что не быть страдать от ввести ответный экономический ,0,российскими,COUNTRY
 Китай и Россия предложили в Совете безопасности ООН свой проект резолюции по проблеме ракетных испытаний в Северной Корее, китай и предложить в совет безопасность оон свой проект резолюция по проблема ,-1,Россия,COUNTRY
"Из-за бесчинств болельщиков был остановлен матч Лиги чемпионов
В Словакии в результате беспорядков, устроенных российскими болельщиками, был прерван матч Лиги чемпионов между командами «Спартак» (Москва) и «Жилина» (Жилина, Словакия), сообщает РБК",лига чемпион между команда спартак москва и жилин жилин сообщать рбк ,0,Словакия,COUNTRY
"

Жертвами хакеров, среди прочих, стали такие финансовые фирмы, как NASDAQ и Heartland Payment Systems, а также авиакомпания JetBlue Airways и розничная сеть J",ами хакер среди прочий стать такой финансовый фирма как nasdaq и а также авиакомпания jetblue airways и розничный сеть j ,0,Heartland Payment Systems,ORGANIZATION
" Связанное с Исламским государством агентство Amaq назвало Шекатта своим «солдатом», который «осуществил эту операцию в ответ на призывы сделать мишенью граждан стран коалиции»", связанный с исламский государство агентство amaq назвать свой солдат который осуществить этот операция в ответ на призыв ,1,Шекатта,PERSON
"Бомж изнасиловал дедушку и 11-летнего мальчика на челябинском кладбище

Отдыхающие бомжи на вентиляционной шахте Российской государственной библиотеки у Московского Кремля 29 марта 2011 года
7 июня 2013 года Следственный комитет России по Челябинской области сообщил о завершении расследования уголовного дела в отношении мужчины без определенного места жительства обвиняемого в совершении насильственных действий сексуального характера в отношении 11-летнего мальчика и пожилого мужчины",ский кремль март год июнь год следственный комитет по челябинский область сообщить о завершение расследование уголовный  ,0,России,COUNTRY
"Православные христиане отмечают Рождество
Множество православных церквей по всему миру, включая Русскую, Греческую, Сербскую и Черногорскую, — отмечают 7 января Рождество по старому стилю",ество православный церковь по весь мир включая русский греческий и черногорский отмечать январь рождество по старый стиль ,0,Сербскую,COUNTRY
" Он отметил, что вооружённые силы США «остаются твёрдо приверженными афганскому народу и его поддержке в совместной борьбе с терроризмом»", он отметить что оставаться тв рдо приверженный афганский народ и он поддержка в с ,0,вооружённые силы США,ORGANIZATION
"Обвинение против Стросс-Кана разваливается
Следователи, ведущие дело Доминика Стросс-Кана, выяснили, что горничная нью-йоркского отеля ''Sofitel'' Нафиссатоу Диалло, утверждающая, что экс-глава МВФ домогался её, неоднократно лгала на допросах",обвинение против разваливаться следователь ведущий дело доминик стросс кан выяснить ,0,Стросс-Кана,PERSON
"

Согласно плану Трампа, ужесточаются ограничения на путешествия граждан США на Кубу, а бизнесменам теперь будет запрещено сотрудничать с кубинской военно-промышленной группой GAESA, которая контролирует половину экономики острова", согласно план ужесточаться ограничение на путешествие гражданин сша на куба а бизна ,-1,Трампа,PERSON
" «Хезболла» выразила поддержку руководству и народу Сирии, заявив, что «умма станет сильнее»", выразить поддержка руководство и народ сирия заявить что умма сто ,0,Хезболла,ORGANIZATION
"

Квирикашвили возглавлял правительство Грузии с декабря 2015 года", квирикашвили возглавлять правительство с декабрь год ,0,Грузии,COUNTRY
Преступники обманули Министерство финансов США на 200 тыс,преступник обмануть министерство финансы на тыс ,0,США,COUNTRY
" секретных документов, содержащих письма дипломатов США с характеристиками многих мировых лидеров", секретный документ содержать письмо дипломат с характеристика многий мировой лидер ,0,США,COUNTRY
"

В то же время, калифорнийской компании не удалось доказать в суде Южной Кореи, что Samsung использовал дизайн iPad для создания внешнего облика своего планшетника Galaxy", в то же время калифорнийский компания не удаться доказать в что samsung использовать дизайн ipad для создание внешний облик сво ,0,суде Южной Кореи,ORGANIZATION
"Умер талантливый музыкант Павел Смеян
11 июля в одной из онкологических клиник Германии на 53-м году жизни скончался артист Ленкома Павел Смеян",умереть талантливый музыкант июль в один из онкологический клиника германия на м год жизнь  ,0,Павел Смеян,PERSON
"

Кроме книги Баффета, в список Forbes вошли: «Маленькая книга, которая способна победить рынок», написанная основателем инвестиционной компании Gotham Capital Джоэлем Гринблаттом, «Обыкновенные акции и необыкновенная прибыль» Филипа Фишера, «Разумный инвестор» Бена Грэхема, «Получить прибыль от мирового экономического кризиса: находя инвестиционные возможности, следуя трендам глобального рынка» Бада Конрада",ые акция и необыкновенный прибыль филип фишер разумный инвестор получить прибыль от мировой экономический кризис находить инвесть ,0,Бена Грэхема,PERSON
"

В заявлении МВД, опубликованном в Facebook, говорится, что в результате взрыва был ранен депутат Верховной Рады от Радикальной партии Игорь Мосийчук",овориться что в результат взрыв быть ранить депутат верховный рада от игорь мосийчук ,0,Радикальной партии,ORGANIZATION
"

18 сентября правительство Германии объявило в стране высшую степень террористической угрозы", сентябрь германия объявить в страна высокий степень террористический угроза ,0,правительство,ORGANIZATION
"

Мурад оказалась в числе около 3000 езидских девушек и женщин, ставших жертвами изнасилований, сексуального рабства и других притеснений со стороны армии ИГ", оказаться в число около езидский девушка и женщина стать жертва ,-2,Мурад,PERSON
"Художник Александр Шилов отмечает юбилей
29 октября 2012 года президент России Владимир Путин наградил художника Александра Шилова орденом Александра Невского
В субботу, 6 октября 2018 года, советский и российский художник-живописец и график Александр Шилов отметил свой 75-летний юбилей",дожникнуть александр шилов отмечать юбилей октябрь год президент владимир путин наградить художник александр шилов орден александр ,0,России,COUNTRY
"

Напомним, в конце июля сайт WikiLeaks разместил в интернете первую подборку документов, касающихся всех аспектов проведения операций союзников в Афганистане с января 2004 года по декабрь 2009 года", документ касаться весь аспект проведение операция союзник в с январь год по декабрь год ,0,Афганистане,COUNTRY
"

Австралийский Премьер-министр Джон Говард (John Howard) сказал, что он хорошо знал Ирвина и что страна потеряла «замечательного человека»", премьер министр джон говард john howard сказать что он хорошо знать  ,0,Австралийский,COUNTRY
" Убрав все второстепенные линии романа Льва Толстого, хореограф сосредоточился на любовном треугольнике Анна — Каренин — Вронский",мана лев толстой хореограф сосредоточиться на любовный треугольник каренин вронский ,0,Анна,PERSON
" В свою очередь, бывший премьер-министр Великобритании Гордон Браун полагает, что у еврозоны нет шансов справиться с финансовыми трудностями и выйти из неурядиц без многомиллиардных вложений в банки", в свой очередь бывший премьер министр гордон браун полагать что у еврозона нет шанс справиться с финансо ,0,Великобритании,COUNTRY
"В Госдуме РФ утверждены законы об НКО и о клевете


В пятницу 13 июля Госдума РФ проголосовала во втором и третьем чтениях за перевод клеветы в разряд уголовных преступлений, караемых денежными штрафами на сумму до 5 миллионов рублей",в рф утвердить закон о нко и о клевета в пятница июль госдума р ,0,Госдуме,ORGANIZATION
"Трагический инцидент в Грузии
Как следует из сообщения министерства обороны Грузии, во вторник на военной базе в Крцанисси произошел взрыв 120-миллиметрой мины",трагический инцидент в грузия как следовать из сообщение в вторник на военный база в крцаниссь произойти взрыв миллиметр ,0,министерства обороны Грузии,ORGANIZATION
"Первый день Нового года в Киеве отмечен празднованием дня рождения Бандеры
Степан Бандера
Митинг в честь дня рождения Степана Бандеры 1 января 2009 года
1 января 2014 года в Киеве около 15 тысяч человек приняли участие в шествии в память о Степане Бандере, приуроченном к 105-й годовщине со дня рождения этого украинского националистического деятеля, который до сих пор вызывает множество споров",й день новый год в киев отметить празднование день рождение бандёр митинг в честь день рождение степан бандёр январь год янва ,0,Степан Бандера,PERSON
"Шапиро покидает свой пост

Мэри Шапиро, возглавившая Комиссию США по ценным бумагам и биржам (SEC) после финансового кризиса, покинет свой пост, передает New York Times со ссылкой на неназванных представителей администрации президента США Барака Обамы",шапиро покидать свой пост мэри шапиро возглавить sec после финансовый кризис покинуть свой пост передавать new york ,0,Комиссию США по ценным бумагам и биржам,ORGANIZATION
" Зеландии


Правительство Новой Зеландии создало специальную комиссию, которая должна выяснить, почему новозеландцы живут хуже своих соседей из Австралии", зеландия создать специальный комиссия который должный выяснить почему новозёл ,0,Правительство Новой Зеландии,ORGANIZATION
"

В то же время, калифорнийской компании не удалось доказать в суде Южной Кореи, что Samsung использовал дизайн iPad для создания внешнего облика своего планшетника Galaxy", в то же время калифорнийский компания не удаться доказать в суд что samsung использовать дизайн ipad для создание внешний облик сво ,0,Южной Кореи,COUNTRY
"

Губернатор Санкт-Петербурга Валентина Матвиенко побывала на месте происшествия", губернатор санкт петербург побывать на место происшествие ,0,Валентина Матвиенко,PERSON
"
Получил образование в США, где и проживал в течение нескольких десятилетий", получить образование в где и проживать в течение несколько десятилетие ,0,США,COUNTRY
"

В правой среде он вызывал недовольство тем, что пытался добиться свободной торговли с Китаем и СССР во времена «холодной войны»",н вызывать недовольство тем что пытаться добиться свободный торговля с и ссср в время холодный война  ,0,Китаем,COUNTRY
"

Фермер и студенческий вожак

Хотя 80-летний Баффет пока отходить от дел не собирается (по его словам, он не жалуется на здоровье и все еще обожает свою работу), в таком возрасте пора подбирать себе достойных преемников, что Баффет и начал делать с 2006 года",бот в такой возраст пора подбирать себя достойный преемник что и начать делать с год ,0,Баффет,PERSON
"

Ван Цзюнь (фото) много времени проводил в Гонконге, в отставке увлекался гольфом", фото много время проводить в гонконг в отставка увлекаться гольфо ,0,Ван Цзюнь,PERSON
"Отставной американский адмирал Деннис Блэр уверен, что Южная Корея «начала терять терпение» в отношении КНДР

Экс-директор национальной разведки США Деннис Блэр считает, что Сеул, утративший всякое терпение, проведёт в отношении северного соседа военную операцию",отставной адмирал деннис блэр уверенный что южный корея начало терять терпение  ,0,американский,COUNTRY
 В случае с Россией Земан настаивает на кандидатуре Владимира Ремека - первого чехословацкого космонавта и депутата от чешской компартии в Европарламенте,ре владимир ремек первый чехословацкий космонавт и депутат от компартия в европарламент ,0,чешской,COUNTRY
"

Великобритания прекратила экспорт тиопентала натрия в ноябре, после того как правозащитная организация «Reprieve» (дословно «Отсрочка») предъявила правительству иск с требованием прекратить экспорт указанного вещества в США",оябрь после тот как правозащитный организация reprieve дословно предъявить правительство иск с требование прекратить экспорт указ ,0,Отсрочка,ORGANIZATION
"

«Мы больше не будем хранить молчание перед лицом коммунистического гнёта», — заявил Трамп, обещая отменить, как он выразился, «однобокие» соглашения администрации Барака Обамы с Кубой",явить трамп обещать отменить как он выразиться однобокий соглашение с куба ,-1,администрации Барака Обамы,ORGANIZATION
"На старшую дочь Фёдора Емельяненко в Москве совершено нападение
Фёдор Емельяненко в 2012 году
Рамзан Кадыров
12 октября 2016 года в газете «Московский комсомолец» появилась информация о нападении в конце прошлой недели на дочь «знаменитого бойца, неоднократного чемпиона мира в тяжёлом весе»",емельяненко в год рамзан кадыров октябрь год в газета появиться информация о нападение в конец прошлый неделя на дочь зна ,0,Московский комсомолец,ORGANIZATION
